 course offer current,1
 Personal circumstances,0
 Subjects offer,0
 Personal circumstances,1
 Subjects offer,1
 Personal circumstances,0
 course offer current,1
 Personal circumstances,0
 Personal circumstances,0
 course offer current,0
 Subjects offer,0
 course offer current,0
 course offer current,0
 course offer current,1
 specialise Multimedia,1
 Personal circumstances,0
 course offer current,0
 course offer current,0
 Personal circumstances,0
 Subjects offer,0
 Personal circumstances,0
 Accomodation problem,0
 change specialisation field interest Studying Software Development study Information Technology specialize Business interest field Information Technology Business Apllication offer current register offer course soshanguve study,0
 family move Gauteng,0
 currently subject still subject available semester cannot still subject start register subject January first semester,1
 register subject semester subject availaable register Therefore subject available cannot register still subject complete,0
 brother Mokone sharing everything include laptop studying transfer soshanguve field specialisatin struggle family accomodate separate expense interest specialise Intelligent Industrial Systems please consider request brother continue share,1
 financial status soshanguve stay grandmother Another specialise field Business application offer specialisation,1
 After careful consider thinking course specialisesfield persue offer current situate although first years subject branching specific second semester positive result move workload barely oppose hard might prove distractful specialise Business application kindly consider request,0
 Reason specialize Network programming near near specialist dermatologist check costly Travelling check affect parent budget monthly allowance terms check budget field speciality traveling distance,0
 offer semester whereas subject offer,0
 request offer DSOIIA forth coming semester whereas subject offer,1
 brother stays prove pay study transfer spend money grocery every month Please approve reduce financial problem family cause brother supporting,0
 formally request request sister move spending money field Intelligent Industrial Systems Business Applications grateful consider application,1
 Socially economically living disorganise environment community neglect family member renting father unemployed There family using train month pay month stay hostel,0
 motivation want financial problem family stay Atteridgeville grandmother afford Because street vendor Nasfas issue continue study financial problem grateful request begranted,0
 Financial reason whereby accommodation expensive around whilst family reside remain duration qualification Institution paternal reside Rolfus Street Orchards accept accommodate complete course Reference Morongwa Pelpo,1
 unfortunately study apply study stay pay accommodation relative study course someone mentor,1
 making request transfer money problem single parent mother earn enough money family expense enough money place stay expense mother suggest suffering semester stay mother expense approve mother suffering Thank,0
 parent struggeling expensive currently pay sharing access library stay Block walking access library could improve academic,0
 There number issue lead Firstly bursary things going better travel father costly Secondly cannot perform spend studying Thirdly safety right appreciate really fulfil dream goal Thank,0
 person usually alone least encounter problem immediate struggle accommodation make stress affect study Where money library everything stress anymore Again improve,1
 intend study Communication Networks current Software Development offer current locate urban unfortunately accommodation residence therefore affordable place parent cannot afford money stay South,0
 stay mother afford expensive better Again longer stalking threathening open enough nolonger street,1
 student number Thabang Phoku transfer abovementioned following circumstances originally Gauteng close abovementioned family recieved bursary residence putting financial strain parent pay grocery stationary book living currently reside expensive compare transfer definitely,0
 humbly asking financial challenge mother unemployed father financial challenge reside South letter Affairs prove attach going difficulty transport grocery father first semester mother everything include second semester hence father pay maintenace sister Studying mother terms second semester Prove maintenance attach,0
 beneficial mainly student diagnose migraine easy access doctor whenever least Camps closer Kempton expensive travelling instead pay pay specialize Intelligent Industrial Systems,0
 parent living transfer closer family friend Proof residence attach along certify father,1
 behind unable originally Limpopo background unstable sometimes holiday unable amount money require believe close releaved worry financial issue performance better,0
 motivation improve academically current another close friend start afresh academically first passing subject thing NSFAS advantage father stays,0
 admit attend first student choose Software Development specialisation parent cannot affort rentso,0
 going parent,0
 problem money coping sister stay least stay complete course,0
 Hendricks hereby request South study Support Services offer study field always admire interest chance finish qualification without move another graduate diploma,1
 offer specialization aware resource compare closer accommodation cheap transport minimize,0
 parent chaned province alone difficult continue study continue study Another pregnant really close parent appreciate approve application Thank,0
 Living strenias stressful Lately expecially going financial crisis parent longer afford sustain living costly result suffer great result proof exactly highly appreciate smoothly,1
 student transfer semester financial problem stay place Unfortunately week illness therefore cannot anymore remain Software Development,0
 Prudence Potlake Malete affect study progress report account return living mother study positive response issue,1
 struggeling financial affect academically There close family,1
 currently experience accommodation problem accept residence daily basis problem travel forth reside distant place suffering academically close library times access facility provide benefit chosen closer effective progress,0
 offer second semester offer finish course happen extra please consider application cause really,0
 semester suppose following module semester module offer,0
 current offering Should currently register subject subject register,0
 offer semester month nothing continue study family closer,0
 mother worry performance merely subject qualify write want study order regain performance,0
 studying subject whole second semester cannot afford subject offer subject repeat first semester inform family matter order complete course suggest reside South stand matter accommodation repeat subject together,0
 stay Morutlawa Street Lotus Gardens wanna family reciding struggle money every month stay,1
 stay family family reside getting enough support study stay Block Thutong,0
 subject operate semester attending cannot register semester,0
 reason subject offer means subject might repeat following semester already specific subject semester block subject semester student thing prolong course period might happen happen subject offer semester,0
 person whose responsible pay accommodation pensioner afford study distant campu stay medical condistion require family,0
 person mentione transfer South family relocate BushBuckRidge longer place pursue study afford place money relative house stay complete study successful unsuccessful choice maybe family recover condition reason take consideration,0
 asking fail FPIDS decide NSFAS money mother pensioner afford salary getting place study promise disturb study appreciate approval,1
 Strike affect performance enhance performance better,1
 currently working Gauteng contractor cannot afford travel transport usually hours weekend meanign travel complete course,1
 reside Gauteng close focusing opportunity career growth,1
 family reside Maluleka stand Windterveld Sosahnguve unable need accommodation currently enrol subject outstanding subject enroll allow enroll together training first semester South training available first semester pleading request,1
 Would personal reason mother nologer employ support financially decision parent closer biological father financially supporting still continue study towards diploma Software development Thank consider application,1
 family member living instant concern academic family member currently workin department living alone blood pressure child always scare leave alone month Changing reduce stress going medication,1
 following merge Communication Networks offer truly request order,0
 semeste Register financial constraint brother semester finish module,0
 always want specialise Computer Systems field program offer laready apply course applicatin still process consider Software development apply course could really dream application approve,1
 plead approve change field specialisation offer desire field Furthermore expensive reside udner parent times Financially specialisation enroll Business Applications,0
 study Business Applications course available eMalahlen,0
 currently student respect humbly diagnose inflammatory disease foundation student disease commly know fibroid casuses dizzy spealss headches migrane check treament every second month Travelling unable physically academically beocing strain chagne jaoring subject support services truly mysel sometimes finances become pblemem parent unemployed,0
 appleaing tranfer reason never intention enroll eMalahlein intnended enroll south accept space cause financial difficulty family register NSFAS funding experience bieng force isolation family support,1
 request family attribute family move move costly rsiding better access facility safely,1
 change speicalisation seonc communication network second coursse pursue Doing software development career thing cause space anymore transfereed fulfill career Networks grade result qualify,0
 father recently retrench working recently weekend least somethin table family problem spend money,1
 Wants,0
 Student want explore,0
 second student styding Software Development request permission change course Intelligent Industrial Systems course course myGPA decrease continously study getting difficult parent,0
 currently studying first hereby request permission change course speicalise Intelligent Industrial system passion,0
 merge Cummunication Networks offer,0
 specialization Communication Network Software Development,1
 going mother mug twice within month longer performance suffering Approval appreciate,1
 closer Expenses meaning spend Specialization Software development offer,1
 family relocate Nelspruit stay family,0
 retrench accommodation stay,1
 hereby apply grandmother guardian life travel weekend check spend transport money problem working life social grant sometimes affect study attend person support spending money miss supplementary medical attention doctor around place,1
 asking fail FPIDS decide NSFAS money mother pensioner afford salary getting place study promise disturb study appreciate approval,1
 Strike affect performance enhance performance better,0
 brother accident cannot afford accommodation current stay accommdation studying register first semester attending treatment diagnose medical condition,1
 parent encourage often attend meeting parent institution invite parent meeting close visit family times understand stand independent parent sibling encourage academically always around,1
 asking subject offer offer,1
 secure service training therefore easy terms commuting forth terms place stay relative service training concurrently,1
 subject running semester,1
 semester offer subject finish diploma register another whole month,1
 running semester,1
 pleading parent parent sickness consition need monitor supervision parent sickness take consult clinic hospital doctor Instead pill terrrible effects tongue undergo paralysis twitching focus study try study study approval highly appreciate,1
 subject internship Kwamhlanga closer problem travel afford financial problem,1
